id|kind|starting_point|existing_path|remaining_gap|further_upgrade|comparison|metric|fixtures|decision_use
L04|location|Use mean/SD bands or an opaque named P-zone.|Distinct disclosed formulas, conditional excursion distributions and explicit geometry/uncertainty types.|Point quantiles can be unstable, disconnected from action roles and overfit when width or snapping changes the outcome definition.|Construct candidate regions from a frozen conditional excursion/path distribution with density support, overshoot and role uncertainty reported separately. Compare free bands, soft nearby-structure features and bounded snapping under matched width/count and evaluation targets; optimize only within training and preserve undisclosed-formula limits.|Disclosed source bands, conditional quantiles, supported density regions and matched snapping/refinement variants.|Quantile/path calibration, region stability, cost-aware location precision and selected net after width controls.|Sparse tail; multimodal density; mapping uncertainty confused with contact width; snapped band relabels success; unavailable source formula.|Turn statistical range information into testable regions whose apparent improvement is not merely a wider target or hindsight snap.
L05|location|Trade POC, value edges and visible peaks.|Full profile landmarks, multimodal separators, shelves/valleys and conditional roles.|Fixed prominence thresholds can create many unstable nodes and miss changing relevance as the auction develops.|Use M04's multiscale persistence and developing residual shape to generate region proposals with support/identity uncertainty. Compare landmark-only roles with predicted profile-evolution features, distinguishing future mass accumulation, traversal and reversal; equalize node density and widths before judging precision.|POC/VA, source topology, stable multiscale regions, evolution-conditioned roles and compatible random/grid controls.|Node stability, future profile/path loss, useful role lifetime, width/count-matched net and compute.|POC plateau; small persistent node; empty historic valley with thick current book; new volume creates competing mode.|Improve which auction regions are proposed and what role they are likely to play, beyond adding more profile lines.
L06|location|Use the biggest positive/negative delta shelf.|Separate buy/sell/unknown geometry and conditional side roles.|Net peaks can hide opposing supported shelves, and location strength lacks confidence and evolving pressure context.|Generate side-specific supported regions from shrunken contrast and intensity fields, retaining overlapping opposing evidence. Attach new-flow, pressure-dose, uncertainty and subsequent observed reward states; compare joint side-role inference with total-profile and net-delta-only locations.|Volume-only, raw delta peak, supported side regions and context/flow-conditioned role model.|Region support/stability, side-role calibration, unknown-sign sensitivity and net beyond volume profile.|Two large opposing shelves; tiny extreme ratio; unknown-side mass changes rank; strong positive delta followed by failure.|Distinguish economically useful directional concentration from cancellation artifacts and unsupported imbalance.
L07|location|Treat single prints, IB edges or poor highs as fixed targets.|Exact TPO/IB variants, causal completion and conditional return/traversal roles.|Binary auction labels lose degree of repair, visit continuity and the difference between developing and completed structure.|Create graded repair/excess/acceptance fields from M06's visit chronology and dwell bounds, with daily/weekly IB identities preserved. Compare discrete source regions with support-weighted bands and duration-aware role forecasts; developing structures have their own cuts and uncertainty.|Source bracket/IB rules, exact visits/dwell, graded support/repair geometry and conditional role model.|Definition fidelity, repair/return-time calibration, premature-object error and net increment.|Single print later repaired; provisional tail; short session; weekly IB overlap; same TPO count with different visit order.|Use auction structure according to how it formed and changed, rather than assuming every named pattern has the same completion or destination meaning.
L08|location|Place Fibonacci or quarter retracements on one chosen swing.|Confirmed/provisional source legs, multiple causal swing definitions and bounded refinement.|Location quality depends on scale persistence and confirmation delay, which raw retracement ratios ignore.|Generate a nested candidate hierarchy from the causal swing tree, with scale persistence, remaining-leg context and available confirmation time. Compare exact ratio points with uncertainty bands/limited offsets under matched decision delay and count; aggregate repeated geometry without erasing parent-leg lineage.|Each source ratio/anchor, one-scale swings, persistent multiscale hierarchy and bounded refinement.|Delay-adjusted role/value, scale stability, candidate redundancy and width/count-matched net.|Nested legs propose same tick; late pivot confirmation; moving provisional extreme; ratio remains but parent leg changes.|Select useful retracement geometry from multiple causally available scales instead of privileging one arbitrary lookback.
L09|location|An FVG or gap is an inefficiency that must fill.|Separate price/body/volume imbalance definitions, causal birth and partial/full mitigation.|A fill flag omits repair depth, elapsed time, trading within the gap and whether the gap is unusual for that activity state.|Maintain a typed spatial repair field and progress/duration history, normalized by formation volatility/activity. Compare geometric gap features with actual trade/footprint support when available, using competing continuation, partial repair and full traversal roles; preserve every source geometry.|Exact gap rules, size/age baseline, repair-field model and measured-volume challenger on matched cohorts.|Gap-type fidelity, repair/time calibration, incremental value beyond displacement and net after entry delay.|Geometric gap contains observed trades on another bar scale; partial repair then continuation; same higher-timeframe value new identity.|Test which observable gap properties matter and avoid treating a pattern name as proof of a market mechanism.
L10|location|Choose one order-block body or wick midpoint.|Source sweep confirmation and all distinct body/full-range/wick, entry and stop interpretations.|One successful interpretation can be selected retrospectively from several geometries and fill assumptions.|Treat source interpretations as a registered geometry/action family with explicit uncertainty, not interchangeable labels. Compare continuous sweep/reclaim quality and bounded region refinement while preserving actual confirmation price, midpoint nonfills and complete stop/expiry plans; use shared paired scenarios.|Every faithful interpretation, simple confirmed entry, continuous quality and bounded refinement under the same action budget.|Interpretation-specific fidelity, fill-adjusted value, geometry robustness, delay cost and constrained net.|Midpoint never trades again; body and full range disagree; wick caption conflicts; confirmation jumps beyond affordable stop.|Determine which operational interpretation and entry region works under actual availability and one-mini risk.
L11|location|Fade a VWAP band or target the moving mean.|Distinct VWAP acceptance/reversion/continuation roles, anchor variants and frozen/dynamic policies.|Multiple anchors can duplicate evidence, and band width or target movement can create artificial hit-rate gains.|Use robust asymmetry and multi-anchor convergence geometry from M07 to model role and bounded contact regions. Compare fixed-at-cut targets with explicitly tracking targets as complete policies, using identical original opportunities and accounting for target motion separately from price travel.|Source SD/percentage bands, robust quantile bands, multi-anchor role model and fixed/tracking target policies.|Role calibration, width-matched precision, target-motion attribution, net and amendment cost.|VWAP moves through stationary price; two anchors nearly identical; outlier shifts SD; remaining time too short for reversion.|Improve anchor/band selection and evaluate dynamic targets as management decisions with their own costs.
L12|location|Use an open, settlement, gap-fill line or large reported print as a level.|Typed reference objects, exact fractional alternatives, causal print receipt and placebo comparisons.|Reference importance is often assumed from its name or print size rather than incremental information relative to ordinary nearby prices.|Use the M12 reference graph to generate relational features, publication age, agreement/disagreement and gap state. For print objects add causal size/exposure surprise, clustering and uncertainty, while comparing time/distance/size-matched ordinary-price controls; no level birth before actual availability.|Each source reference/fraction, simple gap role, relational reference model and controlled print-role alternatives.|Reference fidelity, placebo-adjusted role evidence, future path calibration and full-policy net.|Late print; roll gap; close differs from settlement; fractional body versus range level; distant source needs valid mapping.|Identify which known references and reported events add information beyond price proximity and common round numbers.
L13|location|Map the largest Gamma node into futures and trade its touch.|All supported option nodes, small-node eligibility, mappings and uncertain scenario roles.|One point estimate can hide scenario-dependent node identity, mapping dispersion and competition between nearby nodes.|Generate mapped node bands across common uncertainty/scenario draws, retaining stable support and scenario-specific alternatives. Use O12/O22 lifetime/role forecasts and test whether action choice is stable across the admissible mappings; compare against size/distance-matched node controls with equal candidate density.|Static largest/nearest, mechanically repriced, dynamic/OI-informed and scenario-aware role/location policies.|Mapped geometry fidelity, contact/role calibration, useful lifetime, scenario robustness and constrained net.|Small persistent node; cash proxy touch uncertain; scenario node disappears; two mapped bands overlap; stale OI.|Translate options information into useful receiver opportunities without making node size or one uncertain coordinate the entire decision.
L14|location|Use one exposure center and symmetric envelope.|Centers, bands, multimodal corridors and conditional midpoint roles.|A weighted mean may fall in an unsupported valley and a symmetric envelope can obscure separated or asymmetric clusters.|Generate quantile/cluster center bands and topology corridors with explicit support between modes. Compare scalar center/envelope with multimodal distribution summaries and O12/O13 transition information; predict traversal/reversal/target roles with width/count-matched compatible corridor controls.|Source center/envelope, ordinary VWAP, simple node midpoint, multimodal corridors and conditional roles.|Support/identity stability, role/path calibration, uncertainty sensitivity and selected net.|Two separated peaks place mean in valley; corridor narrows; one wing unobserved; midpoint useful only in one path state.|Represent the actual exposure geometry and test its actionable regions without inventing an undisclosed vendor projection.
L15|location|Require a receiver-level touch before using a source reaction.|Source-only transmission with immediate, pullback and confirmation entry alternatives.|A source event's remaining information decays while the receiver moves; a fixed pullback band ignores that competition.|Model residual receiver movement and event lifetime from the first actionable source cut, separating already realized response from future opportunity. Generate a bounded entry-time/price frontier using X05's conditional transmission and G07 waiting costs; compare immediate versus pullback versus confirmation on the same events.|No source, local-touch-required, immediate source event and residual-lifetime-aware entry alternatives.|Transmission/time calibration, remaining net value, missed pullbacks, latency sensitivity and one-mini feasibility.|Receiver already moved before source receipt; no local touch; source failure during wait; stale event reissued.|Originate receiver trades from fresh source information when their remaining opportunity survives timing, execution and risk constraints.
L16|location|Refine a hand-drawn level or predict a best price.|Bounded grids/offsets, candidate budgets and no-reach/unresolved labels.|A flexible generator can improve hit rate by widening regions or flooding the candidate set rather than finding better locations.|Factor proposal learning into contact probability, conditional role/outcome and executable utility over a fixed relative-price grid. Compare sparse selected bands with fixed grid/source candidates under matched count, width and decision cuts; use uncertainty-aware offsets and cross-fitted generator/scorer closure to avoid selection leakage.|Fixed source/grid, KDE, existing utility proposal, factored spatial model and bounded offsets.|Spatial proper loss, count/width-controlled selected net, proposal stability, no-reach calibration and compute.|Generator/scorer train on same held-out labels; far unreachable peak; wide band claims success; offset creates a new unsupported object.|Learn where useful opportunities may exist while making the source of improvement and selection cost measurable.
L17|forecast|Delete a level after a touch or fixed expiry.|Separate factual lifecycle from forecast useful life, retest/failure and role transitions.|Time and visit count underdescribe cumulative pressure, refresh and gradual role change.|Use recurrent-event survival/transition models with pressure dose, fresh evidence, time away and object lineage, sharing strength across compatible families. Compare fixed expiry with value-aware retention/retirement as a full policy, keeping observations after retirement for unbiased diagnostics where available.|Delete-on-touch/time/count, shrunken hazard, pressure/renewal lifecycle and value-aware retention.|Lifetime/transition calibration, retained opportunity value, stale-candidate cost and lineage stability.|Object split/merge; retirement hides later success; refreshed evidence; many tiny visits; unknown coverage interval.|Keep or retire locations according to tested remaining usefulness rather than a universal touch-count heuristic.
L18|engineering|Count confluence and merge overlapping chart lines.|Complete candidate sets with provenance groups, distinct identities and set alternatives.|Geometric overlap, common data ancestry and action equivalence are different relations that one merge rule can confuse.|Build separate geometry, evidence-lineage and executable-action relation graphs, then derive compact set features and canonical action groups. Compare deterministic relation-aware aggregation with a sparse set/graph learner under equal candidate budgets; preserve an unmerged reference and source-clause trace.|Independent list, simple overlap merge, typed relation graphs and learned aggregation with controlled inputs.|Duplicate/action invariance, retained source coverage, selected net, set stability and latency.|Same line from one raw source counted many times; distinct evidence same action; overlapping bands different expiries; graph order changes.|Give selection compact complementary evidence and complete alternatives without losing provenance or inventing extra independent signals.
L19|location|Trade the price of a large print or presumed trapped origin.|Causal effort clusters, price-only controls, matured reward and protected-origin states.|Cluster size alone does not identify whether a memory remains useful or whether nearby ordinary price structure explains it.|Generate support-weighted memory regions from M11's sparse field, with novelty, pressure history and context-residual markout/lifetime estimates. Compare exact center, cluster band and neighboring price-structure controls, preserving source fixed filters and causal confirmation of protected status.|Source print/cluster, price-only origin, raw aggression memory and residual lifetime/role model.|Placebo-adjusted location information, useful lifetime, precision versus width, net and cumulative idea risk.|Trend rewards all origins; one cluster dominates; same evidence reused; protected label not yet confirmed; neighboring swing explains reaction.|Use meaningful effort-origin memory as a tested location family with graded relevance and explicit alternatives.
C01|measurement|Use one named time range and its quarters/extensions.|All disclosed source clocks, session geometries, inner/outer anchors and unresolved interpretations are preserved.|Independent range scalars hide nested/overlapping relationships and repeated geometry, while arbitrary clock choice can dominate results.|Create a causal range-relation graph with shared/unique formation intervals, nestedness, overlap, relative width, opening position and inter-anchor displacement. Keep every exact source clock as a baseline; compare relation features and boundary-robust variants before C05 learned discovery, with no retrospective best window.|Each source range, individual geometry, multi-range relation basis and registered clock-phase perturbations.|Exact anchor fidelity, phase stability, incremental path information, candidate redundancy and net contribution.|Cross-midnight window; shared endpoints; partial holiday range; inner range outside prior outer range; unfinished formation.|Use relationships among the full range family while preserving the specific clocks and definitions that generated the ideas.
C02|forecast|Label a range as broken, swept or reclaimed.|Ordered high/low breach, repeated return, depth, gap contact and source tolerance variants.|A discrete state omits how far, how long and under what pressure a break persists; repeated events can multiply labels without adding evidence.|Add duration, excursion, accepted time/volume, effort and return-depth trajectories to the exact event automaton. Compare shrunken transition tables with semi-Markov competing next-event hazards, preserving simultaneous/gap cases and causal state revisions.|Exact source states, empirical transitions, continuous state summaries and duration-aware hazards.|Next-branch/time proper loss, state fidelity, repeated-event stability and policy value.|Brief wick versus sustained acceptance; high then low versus low then high; repeated shallow recross; gap over edge.|Forecast the evolving meaning of breaks and reclaims using their observed strength and duration.
C03|forecast|Apply one Jumbo day type or projection rule.|Separate wide/internal, compressed/extension, first-leg, return, partial-retrace and no-move experts.|Hard branch subdivision can waste sparse data and hide shared dynamics; one successful endpoint can conceal a poor entry path.|Use a shared causal path representation with branch-specific residual heads and duration/ordering distributions. Compare independent specialists, pooled model and hierarchical partial pooling; branch applicability uses only observed geometry/prefix, and every source branch retains its own scorecard.|Source branch rules, pooled simple model, independent heads and shared-plus-branch residual model.|Branch-specific joint path/time loss, rare-branch support, downstream internal/extension value and complexity.|Wide range still extends; compressed range fails; partial retrace then runner; overlapping branch attributes; no useful move.|Improve all Jumbo paths while testing whether specialization adds information beyond a strong shared baseline.
C04|forecast|Opening outside value implies a drive or reversal.|Continuous open location plus explicit overlapping open-drive/test/rejection/auction path attributes.|A completed opening type arrives late and hides uncertainty during the opening sequence.|Represent opening behavior as a landmark prefix with displacement, revisit, tested reference, effort efficiency and elapsed persistence. Forecast each next attribute/transition and remaining path with partial pooling across open locations; compare completed-type usage only at its actual availability.|Source open tables, location-only baseline, continuous prefix features and duration-aware opening transition model.|Opening attribute/path calibration, early decision value, confirmation delay and rare-type uncertainty.|Drive becomes rejection; test reference differs from value edge; auction and drive attributes overlap; opening reference unavailable.|Use opening structure as evolving evidence rather than waiting for or assuming a final day-type label.
C05|location|Choose a better fixed clock range by trial and error.|Registered clock, activity, volatility and auction stopping rules with nested selection budgets.|Searching many windows can find unstable winners, while a single stopping rule forces different sessions into the same formation pattern.|Compare a small diverse ensemble of causal range proposals with one selected range, using stability-regularized selection and shared relation features. For adaptive formation, estimate stop/continue utility from prefixes with explicit duration, coverage and downstream candidate costs; benchmark simple activity thresholds before a learned boundary hazard.|All source clocks, fixed-grid winner, simple activity/auction stops and bounded diverse proposal ensemble.|Nested out-of-sample gain, boundary stability, search-adjusted uncertainty, range/candidate budget and compute.|Tiny timing change flips result; no clear auction transition; stopped range later expands; one day favors many hindsight windows.|Discover useful formation schemes without letting clock search or proliferating ranges manufacture apparent improvement.
C06|forecast|Turn a historical average or SD into an upper/lower zone.|Conditional joint excursions, quantiles, ordered touches and observed-prefix remainder targets.|Separate marginals omit dependence and time; one static daily distribution becomes stale after an unusual prefix.|Compare joint U/D/time/ordering distributions with calibrated marginal baselines and a validated path-law challenger. Add prefix-conditioned residual distributions and common-horizon scenario outputs; compare empirical analog retrieval, distributional regression and compact structured models while preserving all source estimands.|Source statistics, seasonal empirical, marginal quantiles, joint model and matched-information prefix/path challengers.|Proper joint/quantile loss, tail/ordering/time calibration, band stability and downstream action value.|Large move already occurred; both tails possible; no future observations; session boundary truncates; zero future excursion is valid only when observed.|Forecast remaining opportunity and path uncertainty rather than assigning win probability to an average range or quantile line.
C07|forecast|Classify the auction as balance, acceptance, rejection or discovery.|Continuous observed acceptance/overlap/expansion axes and causal transition models.|One regime label conflates participation, spatial acceptance and directional progress, and transitions may have different durations.|Factor auction state into separate occupancy/acceptance, value migration, directional efficiency and participation axes, then model their joint next transitions. Compare interpretable additive interactions with filtered duration models, retaining conflicting/uncertain states rather than forcing one label.|Source labels, pooled continuous axes, additive transition model and filtered duration-state challenger.|State/transition calibration, persistence timing, contribution of each axis and economic increment.|High participation with no progress; low-volume discovery; value shifts without price trend; missing tape resembles balance.|Describe and forecast auction behavior through independently measurable dimensions with tested interactions.
C08|forecast|Track the slope of POC or overlap of value areas.|Distribution distance, emerging modes, valley filling and aligned developing profile comparisons.|Describing past movement does not predict where future traded mass or useful regions will form.|Add explicit future profile-evolution targets on a grid frozen at the cut, with overflow and future added-mass versus total-profile distributions. Compare persistence/seasonal expected-profile baselines, low-rank mass-increment models and optional spatial-temporal encoders conditioned on flow, auction state and elapsed exposure; forecast mode/VA changes as derived targets.|POC/overlap rules, transport features only, expected-profile residual baseline and future mass-evolution model.|Proper mass-distribution score, mode/VA transition calibration, incremental path/location net and grid robustness.|New mode appears outside grid; total volume unknown; same POC with mass shift; elapsed maturity mismatch; missing future tape.|Upgrade profile migration into a testable forecast of auction development, with economic value evaluated separately from shape accuracy.
C09|forecast|Scale today's room from yesterday's range or ATR.|Robust rolling/seasonal distributions and exact range-versus-variance targets.|Fixed lookbacks poorly share information across sparse calendar states and may overreact to one extreme day.|Use hierarchical seasonal baselines that pool time-of-day, weekday/event and volatility-state effects with train-only shrinkage. Compare empirical quantile curves, recency weighting and simple additive distribution models; preserve a no-condition/persistence floor and separate opening jump from intraday range.|Previous/ATR, existing seasonal/EWMA, hierarchically pooled empirical distributions and simple GAM.|Proper range/quantile loss, tail coverage, stability across years and downstream value relative to added cost.|Rare event day; holiday duration; isolated extreme; changing volatility level; many zeros from unavailable data.|Make the simple baseline strong and adaptive enough that richer specialists must demonstrate real incremental information.
C10|forecast|Use one OHLC-based volatility estimate as future movement.|GK measured on compatible intervals and separately mapped to future variance/path targets.|OHLC estimates at several scales can be redundant or affected differently by opening jumps, noise and short intervals.|Preserve the verified GK formula and add scale/interval diagnostics plus residual information relative to close-return and RV baselines. Compare pooled lag regression with a reliability-conditioned GK contribution in G02, holding forward target and observation set fixed; GK alone does not supply barrier ordering.|Close/EWMA, lagged GK, multiscale GK residual features and regularized reliability-conditioned forecast.|Reference arithmetic, common-target QLIKE/proper loss, incremental information, scale stability and net downstream use.|Opening jump omitted; very short noisy interval; flat prices; invalid OHLC ordering; many redundant scales.|Use GK where its measured range information adds forecast value, rather than assuming the estimator is itself a prediction.
C11|forecast|Add opening jumps to an OHLC volatility number.|YZ separates opening return, intraday close return and Rogers–Satchell components.|A combined scalar hides which component changes and whether a session convention makes the opening term meaningful.|Keep verified YZ and expose its component/scale contributions with compatible session-gap metadata. Compare component-wise lag and asymmetric response models with the aggregate estimator, sharing shrinkage with other physical-volatility specialists while retaining target and horizon distinctions.|Aggregate YZ, GK/RS/close baselines, component-wise linear model and regularized interaction challenger.|Formula/component parity, future variance/tail proper loss, calendar stability and incremental ensemble/economic contribution.|Futures short maintenance gap versus cash overnight; roll gap; nontrading day; short sample; one jump dominates.|Test whether opening and intraday components forecast different future behavior instead of hiding them in one combined value.
C12|forecast|Sum squared sampled returns and call it volatility.|Multiple sampling grids, noise-robust variants and up/down semivariance.|Sampling choice and correlated estimator error can dominate incremental information; total RV hides signed temporal clustering.|Build a measurement-error-aware multiscale RV/semivariance panel with quality/noise diagnostics, signed clustering and matched observation windows. Compare a good coarse-grid baseline, fixed multigrid combination and train-fitted reliability weighting; use components in common-horizon forecasts before complex encoders.|Coarse RV, subsampling/pre-averaging variants, fixed blend, reliability-weighted panel and matched-lag predictor.|Measurement stability, common-target QLIKE/proper loss, tail calibration, data-quality sensitivity and compute.|Bid/ask bounce; stale carry; sparse grid; jump at boundary; opposing signed bursts produce equal total RV.|Separate genuine variation information from sampling artifacts and test which multiscale/directional components improve forecasts.
C13|forecast|Extrapolate one recent volatility number.|Daily/weekly/monthly HAR, transforms, jump/semivariance inputs and richer common-target mixtures.|Fixed rectangular lag averages may approximate memory poorly, while flexible alternatives can win through extra inputs or tuning rather than better dynamics.|Compare HAR, HAR-J/semivariance variants, regularized smooth distributed lags and an explicitly specified ARFIMA-on-log-variance long-memory challenger. Preserve the user's spoken HAR/ARFI upgrade path; ARFIMA is a proposed operational interpretation, not an asserted source formula. Register memory order, stationarity/domain, initialization, retransformation and matched information/tuning budgets; retain every estimator's individual contribution in G02.|Persistence/EWMA, source HAR variants, smooth lag basis, ARFIMA challenger and compact nonlinear model under separate information/capacity comparisons.|Common-target QLIKE/proper loss, tail/interval calibration, memory stability, inference cost and incremental ensemble/net value.|Log-zero handling; mean-log retransformation bias; long-memory fit near boundary; structural break; future lag average.|Test how much temporal memory and richer dynamics improve forward volatility, without conflating the estimator collection with the forecasting model.
C14|forecast|Mark large returns as jumps or volatility bursts.|Continuous/discontinuous proxies, local thresholds, event hazards and post-burst decay.|One jump statistic loses sign, clustering, duration and uncertainty about whether microstructure produced the event.|Build a probabilistic discontinuity/burst feature panel with signed jump size, clustering, contemporaneous flow/liquidity and decay trajectories, preserving deterministic threshold/BV comparators. Compare additive jump-augmented forecasts with a compact marked-event transition model; quality artifacts remain a separate input class.|Large-return threshold, RV/BV proxy, jump-augmented HAR and conditional burst/decay model.|Event/tail/time proper loss, decay calibration, noise robustness and incremental path/value contribution.|Bid/ask bounce; clustered jumps; opening gap; return after outage; prolonged burst differs from isolated jump.|Forecast the consequences and persistence of unusual movement rather than treating all large returns as the same event.
C15|forecast|Use ATM IV or one skew number as the volatility input.|Full supported smile/skew/curvature, total/forward/event variance, variance-gap, surface-change, leverage, 0DTE and cross-IV children.|A rich feature list can be redundant and still miss coherent surface innovations and their changing relation to physical outcomes.|Add a low-rank functional representation of supported strike/tenor surfaces and innovations after mechanical spot/time movement, retaining observed uncertainty. Compare interpretable factors, residual nonlinear terms and a joint price/surface-shock law; bridge to physical variance/tails using chronological forecasts, with each existing child independently ablated and both primitive C15.SCENARIO and later physical ports kept acyclic.|ATM-only, all existing engineered child features, regularized functional factors, factor-plus-residual and joint shock challengers.|Own-surface and physical proper loss by target, conditional tails, support/arbitrage diagnostics, child contribution and downstream net.|Missing wing; sparse 0DTE; tenor event crossing; same IV different remaining trading time; correlated surface uncertainty; changing variance premium.|Upgrade the entire implied-information family through coherent representation and forecast relationships, preserving each distinct source feature and its limits.
C16|forecast|Use VIX/VX level or curve slope as a stress flag.|Separate VIX-option forward/surface/VVIX, daily VX curve, joint stress and native VX-option branches.|Static levels miss whether stress reflects forward level, tail repricing, volatility-of-volatility or a change in cross-market coupling.|Build a decomposed stress-state trajectory from independently supported forward, term, tail and vol-of-vol innovations, with common uncertainty and event clocks. Compare additive receiver-tail forecasts with low-rank joint dynamics and conditional spillover kernels; native VX options remain independently data-gated and are never replaced by OHLC-derived IV.|Equity RV only, primitive volatility-complex signals, existing joint stress, decomposed innovations and compact joint dynamics.|Own-source and receiver-tail proper loss, stress lead time, calibration, redundancy and constrained net contribution.|Daily VX appears repeated intraday; right wing absent; parity forward uncertain; source stress without receiver move; option-on-VX distinct from VIX option.|Determine which parts of the full volatility complex add fresh information and at what horizon.
C17|forecast|Use a weekday or news-time avoid/trade rule.|Known-calendar anticipation, actual observed release/reaction and post-event decay are separate.|Broad event bins pool different phase, surprise availability and overlapping events, obscuring when risk actually changes.|Fit event-family time kernels for anticipation, release response and decay, partially pooling sparse events and preserving exact publication vintages. Model overlapping-event interactions only with support; compare calendar-only, observed reaction and eligible surprise features at their actual cuts, using horizon intersections with event time.|Source calendar rules, pooled bins, partially pooled event-time kernels and supported interaction/surprise challengers.|Event-tail/time proper loss, uncertainty by independent release, pre/post value and waiting/flatten cost.|Two releases overlap; delayed release; press conference follows statement; consensus vintage absent; horizon straddles event.|Use the timing and type of known and observed events to forecast changing opportunity and risk with explicit information availability.
C18|forecast|Treat CVD direction or tape speed as control.|Independent continuation, failed-effort, persistence, participation and cohort-disagreement heads.|Separate scalars can miss nonlinear coupling between expected flow, price response, cohort breadth and book resilience.|Use M01–M13 residual pressure/progress and multiscale state to fit a compact joint marked-flow/price transition representation, with separate named output heads. Compare additive/interactions before sequence models, and test raw versus residual, ordinary versus cohort, close versus true OHLC and trade versus quote information independently.|Source CVD/OFI rules, simple joint features, residual interaction model and compact sequence challenger.|Per-head proper loss, temporal lead/lag calibration, family interaction value, complete net and latency.|Large flow is expected; price moves without aggression; cohorts disagree; unknown signs; same final delta different path.|Upgrade participation/control prediction through measured interactions while keeping every mechanism and information contribution reviewable.
C19|forecast|Subtract used range from ADR to estimate remaining fuel.|Prefix-conditioned remaining extrema/time distributions truncated at the true boundary.|A single room number misses asymmetric path possibilities, conditional expansion and how soon movement can occur.|Fit a coherent remaining-horizon surface over upward/downward travel, first passage and resolution time, conditioned on current price, realized prefix and state. Compare direct remainder models with a validated conditional full-path law; provide primitive movement/time outputs to G/P, which alone derive executable feasibility frontiers.|Seasonal remainder, fixed ADR cap, direct conditional quantiles/hazards and coherent remaining-path model.|Horizon/path proper loss, boundary calibration, expansion/quiet-state error and downstream wait/stop/target value.|Day exceeds prior range forecast; late fast opportunity; already travelled both sides; hard cutoff shortens horizon; variance high but signed payoff poor.|Quantify remaining attainable movement and timing without imposing a spent-volatility ceiling or feeding current action values back into forecasts.
C20|forecast|Name a day as trending, balanced or high volatility.|Continuous interpretable axes, causal filtered states and separate coverage drift.|Regime models may fit retrospective clusters that add no predictive information and can confuse gradual transitions with abrupt changes.|Compare predictive state representations trained on next observable outcomes with descriptive regime fits, using a low-dimensional interpretable axis baseline and optional filtered latent residual state. Preserve posterior uncertainty, duration and drift; fit only chronological prefixes and distinguish representation changes from parameter adaptation.|No regime, continuous axes, filtered HMM/HSMM/change point and predictive residual-state challenger.|Downstream proper loss/net, state stability, transition delay, support and coverage-artifact sensitivity.|Mixed trend/balance evidence; abrupt source change; gradual market drift; rare state; future-smoothed label looks perfect.|Use state conditioning only when it improves future decisions, with uncertainty and observable meaning retained.
C21|forecast|Use a session-to-session hit table or AM/PM pattern.|Every source session/body/open/range target and exact ordered check window is retained.|A fixed session label loses how much of its typical activity/path has already occurred and how transitions depend on the prior session.|Build duration- and activity-aware transition features on exact source clocks, using causal expected-activity phase rather than future total volume. Compare hierarchical pair-of-session models with pooled temporal kernels, preserving each reference/ordering target and including holiday/DST/overlap state.|Source time-window tables, shrunken frequencies, exact-clock conditional model and activity-aware hierarchical transition model.|Per-transition path/time calibration, seasonal/clock stability, independent date support and net contribution.|AM expansion followed by further expansion; overlap of global sessions; early close; body25 versus open-to-open target; partial current session.|Improve the full session-transition family through richer observed phase and conditional relationships, without replacing exact source clocks.
C22|decision|Use Context only to filter a separately generated entry.|Context forecasts can originate complete current-price or conditional-entry opportunities.|A single threshold may ignore several feasible ways to express the same forecast and duplicate candidates from other originators.|Compile a bounded library of Context-originated opportunity templates with side, trigger/entry, invalidation, destination, horizon and evidence lineage. Compare immediate and conditional templates using calibrated path distributions and shared G/P value, deduplicating equivalent actions while preserving source evidence; no Response prerequisite is introduced.|No Context origination, source simple rule, calibrated threshold and bounded template/proposal alternatives.|New useful opportunity coverage, duplication invariance, calibration, complete-policy net and one-mini feasibility.|Strong Context with no local level; conditional trigger never arrives; two experts propose same action; future best entry unavailable.|Let the full Context family create testable trades as well as inform selection, with every proposal passing common execution/risk rules.
C23|forecast|Use high-low range as a volatility proxy.|Verified Parkinson measurement and separate common-horizon forecasts/comparators.|Range-only information can be redundant with GK/YZ or distorted by interval length and missing opening movement.|Expose scale-consistent Parkinson contributions and residual range information relative to close-return/RV baselines, with gap/duration/quality metadata. Compare aggregate lag regression, component residual forecasting and G02 reliability weighting; preserve the diffusion-based estimator as the exact comparator.|Close/EWMA, Parkinson lags, GK/YZ/RS controls, residual range features and regularized forecast.|Reference arithmetic, common-target proper loss, gap/scale stability, incremental ensemble value and compute.|Unobserved opening jump; one extreme quote not trade high; short interval; constant price; drift-heavy period.|Determine whether the range statistic supplies useful distinct forecast information under the actual observation process.
