id|focus|definition|comparison|fixtures
R12|Directional branch and origin lineage|Retain original squeeze direction, catalyst, intermediate failure and new pocket as separate stage/objects. Failed squeeze then renewed original direction is different from opposite-direction fade. All source origins enter before the branch is known.|Compare immediate squeeze, failure fade and original-direction resqueeze under the same original episodes, timing and risk lineage.|Bullish squeeze fails then resumes upward; catalyst renamed after loss; no retest; newer pocket created after favorable move; incomplete resqueeze.
R13|Quiet failure with complete observation|A quiet-failure claim needs covered full-size activity plus observed progress/reclaim state. Missing own-side aggression is permitted; missing tape is not affirmative quiet evidence. Separate inefficient opposing push from efficient low-volume continuation.|Compare direct C/L, price/pace failure and added own-flow confirmation with lost-move and entry-delay accounting.|Filtered bubbles absent but other sizes active; quote withdrawal rally; inactive holiday interval; source gap; opposing push resumes with little effort.
R14|Ordered stages and skipped-stage alternatives|Each source stage has exact observable predicates, orientation, clock and units. Source conjunction and flexible/skipped-stage model are distinct variants; a missing/unobserved stage cannot silently count complete. Shared flow measures are correlated evidence.|Compare every prefix and selected leave-stage-out paths from the same initial opportunities, using updated entry/horizon/risk.|Progress before delta turn; recovery without price progress; three updates without three ticks; late final confirmation; timed-out stage; missing book.
R15|Observed reward and protection maturity|Name price-markout reward separately from executable net trade profit. A protected origin/swing becomes known only after its registered observation/confirmation; its later survival is a future outcome. Preserve failures and sign uncertainty.|Compare flow-memory protection with price-only swing protection and fixed brackets on all original pockets and complete position paths.|Positive markout but costs lose; largest flow unrewarded; protected low later breaks; two control switches; confirmation backdated; stop gaps.
R16|Frozen minor-node and wick references|Keep anchor/node versions and neighboring regions distinct throughout contact episodes. Final wick membership is unavailable before close; changing profile bins/anchors is a revision, not evidence a prior entry used the new node.|Compare minor/major nodes and volume/delta/flow additions with matched spatial support and all initial contacts.|Later-selected wick encloses a winning entry; small node next to valley; upper/lower region swap; developing anchor changes; repeated same-visit ticks.
R17|Visit definition and selected survivors|A new visit requires declared leave distance/time on stable lineage; revision/alias does not reset count. Later visits are selected survival paths, so conditional later-visit accuracy and whole-origin waiting value are separate estimands.|Compare first/second/later policies from common origins with duration/age/defense features and full retry risk.|No-return runner; several ticks inside one visit; new alias after loss; deep overshoot; second visit only among strong surviving objects.
R18|Shared block event and independent action variants|Use the same L10 source event/geometry record for R18 rather than manufacturing independent confirmation. Source close/sweep thresholds, body/wick alternatives and confirmation/retracement actions retain separate IDs and actual availability.|Compare timing and stop geometry as separate factors against direct C/L and simple price confirmation on identical origin cohorts.|Incomplete third candle; no retracement; midpoint versus extreme stop; late source event; same L10/R18 evidence counted twice; failed confirmation continuation.
R19|Residual value from actual state|At each prefix, price, remaining horizon, occupancy, risk and future management policy define action value. Waiting cannot retain the original ideal entry/reward. The augmented G pass uses frozen baseline outputs once and cannot feed back into their ancestors.|Compare entry/filter/exit contributions independently, then replay full policies on common original opportunities including no completion/non-fill.|Confirmation after target; daily halt while waiting; new spread; existing position blocks candidate; baseline and augmented reward counted twice; unsupported counterfactual fill.
R20|Source-variant completeness without repaint|Each routed Pine clause becomes an exact member-specific rule/exception fixture or an explicit unavailable/defective disposition. Shared numeric machinery does not merge similarly named source variants. Drawing/backplot locations are separate from computation availability.|Compare faithful causal rules, separately corrected defects and continuous-feature alternatives, with each source variant and search trial retained.|Identical HTF bars; unoffset future HTF; display switch changes numbers; missing source tail; current-inclusive statistic; different CISD rules share a name.
R21|Contextual mixture closure|Combine only compatible future targets and horizon/policy definitions using OOF complete-chain forecasts. Soft contextual state, coverage and uncertain gamma scenarios are distinct inputs; final day labels and current augmented outputs cannot condition their own predictors.|Compare hard source gates, simple available-expert mixture and learned soft gate with calibration after combination and source/sequence ablations.|All experts missing; duplicate flow evidence; future day-type gate; uncertain opposite gamma scenarios; regime changes while held; collapsed gate.
R22|Blinded annotation evidence|Separate visible measurement, source interpretation, ambiguity and numeric replay outcome. Independent blinded annotations require genuinely separate readings with future hidden; repeated output from one procedure is not independent inter-rater evidence. Preserve unavailable pixels/formulas without invention.|Compare rule-derived versus independently annotated fields and numeric-only versus annotation-assisted research; selected source charts never estimate natural deployment prevalence.|Future chart section visible; copied prior annotation; image/caption side conflict; order drawn but unfilled; cropped scale; source time cannot be established.
